--------- beginning of main
09-04 19:51:15.852 I/RyzeBridge(20280): SCRIPT connect;write 3403010005;until 3403 4000;status
09-04 19:51:15.852 I/RyzeBridge(20280): STATE already connected
09-04 20:09:24.781 I/RyzeBridge(20280): RX 33F2 b107ea090414001800000000000909000018
09-04 20:09:25.726 I/RyzeBridge(20280): RX 33F2 b107ea090414001900000000000909000019
09-04 20:09:25.728 I/RyzeBridge(20280): RX 33F2 b107ea090414001900000000000909000019
09-04 20:09:26.671 I/RyzeBridge(20280): RX 33F2 b107ea090414001c0000000000090900001c
09-04 20:09:27.300 I/RyzeBridge(20280): RX 33F2 b107ea090414001c0000000000090900001c
09-04 20:09:28.246 I/RyzeBridge(20280): RX 33F2 b107ea090414001d0000000000090900001d
09-04 20:09:28.246 I/RyzeBridge(20280): RX 33F2 b107ea090414001d0000000000090900001d
09-04 20:09:28.875 I/RyzeBridge(20280): RX 33F2 b107ea090414001e0000000000090900001e
09-04 20:09:28.876 I/RyzeBridge(20280): RX 33F2 b107ea090414001e0000000000090900001e
09-04 20:09:29.821 I/RyzeBridge(20280): RX 33F2 b107ea090414002000000000000909000020
09-04 20:09:29.822 I/RyzeBridge(20280): RX 33F2 b107ea090414002000000000000909000020
09-04 20:09:30.766 I/RyzeBridge(20280): RX 33F2 b107ea090414002100000000000909000021
09-04 20:09:30.766 I/RyzeBridge(20280): RX 33F2 b107ea090414002100000000000909000021
09-04 20:09:32.657 I/RyzeBridge(20280): RX 33F2 b107ea090414002300000000000909000023
09-04 20:09:32.657 I/RyzeBridge(20280): RX 33F2 b107ea090414002300000000000909000023
09-04 20:09:33.600 I/RyzeBridge(20280): RX 33F2 b107ea090414002400000000000909000024
09-04 20:09:33.602 I/RyzeBridge(20280): RX 33F2 b107ea090414002400000000000909000024
09-04 20:09:34.861 I/RyzeBridge(20280): RX 33F2 b107ea090414002600000000000909000026
09-04 20:09:34.861 I/RyzeBridge(20280): RX 33F2 b107ea090414002600000000000909000026
09-04 20:09:36.436 I/RyzeBridge(20280): RX 33F2 b107ea090414002800000000000909000028
09-04 20:09:36.436 I/RyzeBridge(20280): RX 33F2 b107ea090414002800000000000909000028
09-04 20:09:36.751 I/RyzeBridge(20280): RX 33F2 b107ea090414002900000000000909000029
09-04 20:09:36.751 I/RyzeBridge(20280): RX 33F2 b107ea090414002900000000000909000029
09-04 20:09:38.011 I/RyzeBridge(20280): RX 33F2 b107ea090414002a0000000000090900002a
09-04 20:09:38.011 I/RyzeBridge(20280): RX 33F2 b107ea090414002a0000000000090900002a
09-04 20:09:39.271 I/RyzeBridge(20280): RX 33F2 b107ea090414002c0000000000090900002c
09-04 20:09:39.271 I/RyzeBridge(20280): RX 33F2 b107ea090414002c0000000000090900002c
09-04 20:09:39.585 I/RyzeBridge(20280): RX 33F2 b107ea090414002d0000000000090900002d
09-04 20:09:39.586 I/RyzeBridge(20280): RX 33F2 b107ea090414002d0000000000090900002d
09-04 20:10:01.636 I/RyzeBridge(20280): RX 33F2 3411
09-04 20:10:15.813 I/RyzeBridge(20280): RX 33F2 b107ea09041400380000000000090a000038
09-04 20:10:15.814 I/RyzeBridge(20280): RX 33F2 b107ea09041400380000000000090a000038
09-04 20:10:16.757 I/RyzeBridge(20280): RX 33F2 b107ea090414003a0000000000090a00003a
09-04 20:10:16.758 I/RyzeBridge(20280): RX 33F2 b107ea090414003a0000000000090a00003a
09-04 20:10:17.703 I/RyzeBridge(20280): RX 33F2 b107ea090414003b0000000000090a00003b
09-04 20:10:17.704 I/RyzeBridge(20280): RX 33F2 b107ea090414003b0000000000090a00003b
09-04 20:10:18.647 I/RyzeBridge(20280): RX 33F2 b107ea090414003e0000000000090a00003e
09-04 20:10:18.648 I/RyzeBridge(20280): RX 33F2 b107ea090414003e0000000000090a00003e
09-04 20:10:19.908 I/RyzeBridge(20280): RX 33F2 b107ea090414003f0000000000090a00003f
09-04 20:10:19.909 I/RyzeBridge(20280): RX 33F2 b107ea090414003f0000000000090a00003f
09-04 20:10:21.167 I/RyzeBridge(20280): RX 33F2 b107ea09041400420000000000090a000042
09-04 20:10:21.168 I/RyzeBridge(20280): RX 33F2 b107ea09041400420000000000090a000042
09-04 20:10:21.798 I/RyzeBridge(20280): RX 33F2 b107ea09041400430000000000090a000043
09-04 20:10:21.802 I/RyzeBridge(20280): RX 33F2 b107ea09041400430000000000090a000043
09-04 20:10:22.742 I/RyzeBridge(20280): RX 33F2 b107ea09041400450000000000090a000045
09-04 20:10:22.743 I/RyzeBridge(20280): RX 33F2 b107ea09041400450000000000090a000045
09-04 20:10:24.632 I/RyzeBridge(20280): RX 33F2 b107ea09041400460000000000090a000046
09-04 20:10:24.632 I/RyzeBridge(20280): RX 33F2 b107ea09041400460000000000090a000046
09-04 20:10:32.824 I/RyzeBridge(20280): RX 33F2 b107ea09041400520000000000090a000052
09-04 20:10:32.824 I/RyzeBridge(20280): RX 33F2 b107ea09041400520000000000090a000052
09-04 20:10:33.769 I/RyzeBridge(20280): RX 33F2 b107ea09041400540000000000090a000054
09-04 20:10:33.769 I/RyzeBridge(20280): RX 33F2 b107ea09041400540000000000090a000054
09-04 20:10:34.712 I/RyzeBridge(20280): RX 33F2 b107ea09041400550000000000090a000055
09-04 20:10:34.712 I/RyzeBridge(20280): RX 33F2 b107ea09041400550000000000090a000055
09-04 20:10:36.602 I/RyzeBridge(20280): RX 33F2 b107ea09041400570000000000090a000057
09-04 20:10:36.603 I/RyzeBridge(20280): RX 33F2 b107ea09041400570000000000090a000057
09-04 20:10:38.808 I/RyzeBridge(20280): RX 33F2 b107ea09041400580000000000090a000058
09-04 20:10:38.809 I/RyzeBridge(20280): RX 33F2 b107ea09041400580000000000090a000058
09-04 20:10:58.654 I/RyzeBridge(20280): RX 33F2 34000061
09-04 20:13:01.507 I/RyzeBridge(20280): RX 33F2 a24d
09-04 20:13:01.819 I/RyzeBridge(20280): RX 33F2 b107ea09041400620000000000090d000062
09-04 20:13:01.819 I/RyzeBridge(20280): RX 33F2 b107ea09041400620000000000090d000062
09-04 20:13:02.767 I/RyzeBridge(20280): RX 33F2 b107ea09041400640000000000090d000064
09-04 20:13:02.767 I/RyzeBridge(20280): RX 33F2 b107ea09041400640000000000090d000064
09-04 20:13:04.037 I/RyzeBridge(20280): RX 33F2 b107ea09041400650000000000090d000065
09-04 20:13:04.037 I/RyzeBridge(20280): RX 33F2 b107ea09041400650000000000090d000065
09-04 20:13:04.038 I/RyzeBridge(20280): CONNPARAMS interval=27 latency=0 timeout=500 status=0
09-04 20:13:04.576 I/RyzeBridge(20280): RX 33F2 b107ea09041400660000000000090d000066
09-04 20:13:04.576 I/RyzeBridge(20280): RX 33F2 b107ea09041400660000000000090d000066
09-04 20:13:05.590 I/RyzeBridge(20280): RX 33F2 b107ea09041400680000000000090d000068
09-04 20:13:05.654 I/RyzeBridge(20280): RX 33F2 b107ea09041400680000000000090d000068
09-04 20:13:06.634 I/RyzeBridge(20280): RX 33F2 b107ea090414006b0000000000090d00006b
09-04 20:13:06.639 I/RyzeBridge(20280): RX 33F2 b107ea090414006b0000000000090d00006b
09-04 20:13:07.615 I/RyzeBridge(20280): RX 33F2 b107ea090414006c0000000000090d00006c
09-04 20:13:07.615 I/RyzeBridge(20280): RX 33F2 b107ea090414006c0000000000090d00006c
09-04 20:13:08.593 I/RyzeBridge(20280): RX 33F2 b107ea090414006e0000000000090d00006e
09-04 20:13:08.594 I/RyzeBridge(20280): RX 33F2 b107ea090414006e0000000000090d00006e
09-04 20:13:09.607 I/RyzeBridge(20280): RX 33F2 b107ea09041400700000000000090d000070
09-04 20:13:09.607 I/RyzeBridge(20280): RX 33F2 b107ea09041400700000000000090d000070
09-04 20:13:10.585 I/RyzeBridge(20280): RX 33F2 b107ea09041400710000000000090d000071
09-04 20:13:10.586 I/RyzeBridge(20280): RX 33F2 b107ea09041400710000000000090d000071
09-04 20:13:11.712 I/RyzeBridge(20280): RX 33F2 b107ea09041400730000000000090d000073
09-04 20:13:11.712 I/RyzeBridge(20280): RX 33F2 b107ea09041400730000000000090d000073
09-04 20:13:11.713 I/RyzeBridge(20280): CONNPARAMS interval=252 latency=0 timeout=500 status=0
09-04 20:13:12.655 I/RyzeBridge(20280): RX 33F2 b107ea09041400760000000000090d000076
09-04 20:13:12.655 I/RyzeBridge(20280): RX 33F2 b107ea09041400760000000000090d000076
09-04 20:13:13.601 I/RyzeBridge(20280): RX 33F2 b107ea09041400770000000000090d000077
09-04 20:13:13.601 I/RyzeBridge(20280): RX 33F2 b107ea09041400770000000000090d000077
09-04 20:13:14.864 I/RyzeBridge(20280): RX 33F2 b107ea09041400790000000000090d000079
09-04 20:13:14.865 I/RyzeBridge(20280): RX 33F2 b107ea09041400790000000000090d000079
09-04 20:13:15.807 I/RyzeBridge(20280): RX 33F2 b107ea090414007a0000000000090d00007a
09-04 20:13:15.807 I/RyzeBridge(20280): RX 33F2 b107ea090414007a0000000000090d00007a
09-04 20:14:14.715 I/RyzeBridge(20280): RX 33F2 b107ea09041400840000000000090e000084
09-04 20:14:14.716 I/RyzeBridge(20280): RX 33F2 b107ea09041400840000000000090e000084
09-04 20:14:18.811 I/RyzeBridge(20280): RX 33F2 b107ea09041400850000000000090e010085
09-04 20:14:19.123 I/RyzeBridge(20280): RX 33F2 b107ea09041400850000000000090e010085
09-04 20:14:19.750 I/RyzeBridge(20280): RX 33F2 b107ea09041400870000000000090e010087
09-04 20:14:19.751 I/RyzeBridge(20280): RX 33F2 b107ea09041400870000000000090e010087
09-04 20:14:42.749 I/RyzeBridge(20280): RX 33F2 b107ea09041400880000000000090e010088
09-04 20:14:42.750 I/RyzeBridge(20280): RX 33F2 b107ea09041400880000000000090e010088
09-04 20:14:43.693 I/RyzeBridge(20280): RX 33F2 b107ea090414008a0000000000090e01008a
09-04 20:14:43.694 I/RyzeBridge(20280): RX 33F2 b107ea090414008a0000000000090e01008a
09-04 20:14:44.954 I/RyzeBridge(20280): RX 33F2 b107ea090414008b0000000000090e01008b
09-04 20:14:44.957 I/RyzeBridge(20280): RX 33F2 b107ea090414008b0000000000090e01008b
09-04 20:14:45.584 I/RyzeBridge(20280): RX 33F2 b107ea090414008c0000000000090e01008c
09-04 20:14:45.584 I/RyzeBridge(20280): RX 33F2 b107ea090414008c0000000000090e01008c
09-04 20:14:47.789 I/RyzeBridge(20280): RX 33F2 b107ea090414008f0000000000090e01008f
09-04 20:14:47.790 I/RyzeBridge(20280): RX 33F2 b107ea090414008f0000000000090e01008f
09-04 20:14:48.735 I/RyzeBridge(20280): RX 33F2 b107ea09041400900000000000090e010090
09-04 20:14:48.736 I/RyzeBridge(20280): RX 33F2 b107ea09041400900000000000090e010090
09-04 20:14:49.678 I/RyzeBridge(20280): RX 33F2 b107ea09041400920000000000090e010092
09-04 20:14:49.679 I/RyzeBridge(20280): RX 33F2 b107ea09041400920000000000090e010092
09-04 20:14:50.941 I/RyzeBridge(20280): RX 33F2 b107ea09041400940000000000090e010094
09-04 20:14:50.942 I/RyzeBridge(20280): RX 33F2 b107ea09041400940000000000090e010094
09-04 20:14:52.199 I/RyzeBridge(20280): RX 33F2 b107ea09041400970000000000090e010097
09-04 20:14:52.200 I/RyzeBridge(20280): RX 33F2 b107ea09041400970000000000090e010097
09-04 20:14:52.829 I/RyzeBridge(20280): RX 33F2 b107ea09041400990000000000090e010099
09-04 20:14:52.829 I/RyzeBridge(20280): RX 33F2 b107ea09041400990000000000090e010099
09-04 20:14:54.719 I/RyzeBridge(20280): RX 33F2 b107ea090414009b0000000000090e01009b
09-04 20:14:54.719 I/RyzeBridge(20280): RX 33F2 b107ea090414009b0000000000090e01009b
09-04 20:14:54.721 I/RyzeBridge(20280): RX 33F2 b107ea090414009d0000000000090e01009d
09-04 20:14:54.722 I/RyzeBridge(20280): RX 33F2 b107ea090414009d0000000000090e01009d
09-04 20:14:55.664 I/RyzeBridge(20280): RX 33F2 b107ea090414009e0000000000090e01009e
09-04 20:14:55.664 I/RyzeBridge(20280): RX 33F2 b107ea090414009e0000000000090e01009e
09-04 20:14:56.609 I/RyzeBridge(20280): RX 33F2 b107ea090414009f0000000000090e01009f
09-04 20:14:56.609 I/RyzeBridge(20280): RX 33F2 b107ea090414009f0000000000090e01009f
09-04 20:14:58.499 I/RyzeBridge(20280): RX 33F2 b107ea09041400a00000000000090e0100a0
09-04 20:14:58.500 I/RyzeBridge(20280): RX 33F2 b107ea09041400a00000000000090e0100a0
09-04 20:18:01.834 I/RyzeBridge(20280): RX 33F2 f70307ea0904140156
09-04 20:18:08.764 I/RyzeBridge(20280): RX 33F2 b107ea09041400aa000000000009120100aa
09-04 20:18:08.765 I/RyzeBridge(20280): RX 33F2 b107ea09041400aa000000000009120100aa
09-04 20:18:09.709 I/RyzeBridge(20280): RX 33F2 b107ea09041400ab000000000009120100ab
09-04 20:18:09.710 I/RyzeBridge(20280): RX 33F2 b107ea09041400ab000000000009120100ab
09-04 20:18:10.654 I/RyzeBridge(20280): RX 33F2 b107ea09041400ad000000000009120100ad
09-04 20:18:10.654 I/RyzeBridge(20280): RX 33F2 b107ea09041400ad000000000009120100ad
